ds,yhat,yhat_lower,yhat_upper
2016-05-25,13818.90713877027,12350.545957853936,15370.25427315145
2016-05-26,13920.75230187169,12433.867114730358,15460.42270811073
2016-05-27,13756.726658191035,12180.835365682751,15257.963151961698
2016-05-28,12673.771833580766,11096.322043676882,14078.837088454824
2016-05-29,12358.126637234642,10839.729081754069,13813.621329428486
2016-05-30,14091.202225296005,12595.357723244602,15474.690127887243
2016-05-31,14453.027344092026,13041.144666699774,15988.524609734526
2016-06-01,14517.762860104493,13044.361930347623,15926.830240083824
2016-06-02,14653.72817679028,13054.680328518494,16029.098537167714
2016-06-03,14514.802730801855,12890.422441025037,16077.835410447882
2016-06-04,13447.093356906771,11958.234074816908,14994.570196493969
2016-06-05,13136.241246756219,11534.695481183866,14604.041139928937
2016-06-06,14863.317390752074,13337.217670907918,16334.6739583173
2016-06-07,15208.28113731516,13674.68424286828,16663.915580489218
2016-06-08,15245.500645029137,13687.038281290419,16750.023923586297
2016-06-09,15343.777604936244,13875.858165887916,17024.541763472676
2016-06-10,15157.739418102208,13783.38640367128,16734.885035858737
2016-06-11,14034.489827120706,12477.667518213033,15547.47427465877
2016-06-12,13660.892147205373,12121.716543084123,15172.803974669743
2016-06-13,15319.434606677158,13727.820962658,16902.07107330613
2016-06-14,15591.653234371945,14133.166200834785,17035.79655328517
2016-06-15,15553.612032884763,14065.21506592125,17056.42229434041
2016-06-16,15575.883911721015,14028.648294647302,17191.982914088974
2016-06-17,15314.896764306804,13824.05838131849,16803.79184176378
2016-06-18,14119.536954792107,12627.579513730989,15563.592837039645
2016-06-19,13678.385659909982,12177.09495196116,15252.46798497856
2016-06-20,15275.53887084713,13740.054648475763,16783.62954615089
2016-06-21,15493.987746560608,13942.226927457157,16980.892823579306
2016-06-22,15411.060234621558,13993.154520397204,16921.82407456272
2016-06-23,15398.368500495122,13850.591164230751,16883.891098777945
2016-06-24,15113.127475747553,13644.916407095585,16704.261053357302
2016-06-25,13904.737550924729,12318.624718375906,15572.165872222606
2016-06-26,13462.007430135996,11967.773623047244,14977.760413731334
2016-06-27,15068.968319918007,13495.018065412694,16647.814927036336
2016-06-28,15308.256297149066,13818.686757827574,16764.61813023185
2016-06-29,15256.563707028736,13642.726815755957,16762.28293633005
2016-06-30,15284.603850731577,13860.186891793253,16843.748944626375
2016-07-01,15048.453784107678,13485.105038489228,16578.944277442635
2016-07-02,13896.167570348673,12183.251124750528,15405.928961893296
2016-07-03,13515.035147031542,11952.851784724679,15011.354629209698
2016-07-04,15187.436974271448,13699.146221480198,16692.31008672237
2016-07-05,15494.270182469661,13983.1393962406,16965.4177680853
2016-07-06,15510.445856409178,13949.937486397956,17140.665422459635
2016-07-07,15604.900447320782,14124.608573129306,17097.872046335888
2016-07-08,15431.984849001823,13941.979902860687,16996.265400109365
2016-07-09,14338.122214413932,12741.985173595876,15809.012242615634
2016-07-10,14009.108461428497,12483.716494697332,15547.665289499811
2016-07-11,15726.004511309038,14192.794971476344,17271.39458085895
2016-07-12,16068.594975388049,14448.65818130644,17663.49943639256
2016-07-13,16110.912071385088,14671.731291987744,17785.737881483023
2016-07-14,16221.267077012239,14653.107530920102,17784.10795010404
2016-07-15,16053.652362450399,14620.256011290361,17496.429363090978
2016-07-16,14954.404786295621,13355.332553245657,16433.866546789417
2016-07-17,14609.504321103981,13037.388342560635,16084.47944259264
2016-07-18,16300.457080246912,14679.766750523573,17751.884321714584
2016-07-19,16607.737794796372,14996.09108118485,18074.057664423945
2016-07-20,16606.291049673928,14977.941827217095,17991.136924470826
2016-07-21,16665.53429227592,15038.874736725487,18219.94036282318
2016-07-22,16440.726517170904,14941.284923068604,17988.426077145505
2016-07-23,15279.594403901065,13721.352709153873,16753.747573198692
2016-07-24,14869.590867587875,13468.419834160319,16442.95190414107
2016-07-25,16493.736356295358,15083.096776786992,18030.903852853487
2016-07-26,16734.01914120281,15273.093396639317,18311.75746762128
2016-07-27,16666.85510619932,15122.084823372745,18109.851512063586
2016-07-28,16663.051213232815,15128.053857177214,18233.061705654414
2016-07-29,16379.137642684287,14911.074305680355,17945.654912627375
2016-07-30,15163.961382886933,13690.576723121441,16729.633048000218
2016-07-31,14705.917099237136,13061.177630703496,16346.240014471467
2016-08-01,16288.766337182893,14858.425612289573,17866.005577940392
2016-08-02,16495.0218556384,14928.452667090041,17947.22418125497
2016-08-03,16401.397963785326,14883.344700279948,17827.80683516255
2016-08-04,16378.771211087713,14875.926720163692,17902.335087666957
2016-08-05,16083.516407123574,14569.017269657394,17583.561461007463
2016-08-06,14864.110529489482,13404.592079445429,16519.81275847348
2016-08-07,14408.379949181382,12888.695197338566,15952.676996063294
2016-08-08,15999.341455656795,14510.768144343083,17457.443678440017
2016-08-09,16218.613153014165,14665.384665684158,17708.144897724018
2016-08-10,16141.895245826761,14651.849246649466,17587.36992263209
2016-08-11,16138.964106598354,14622.721896770696,17675.263177928762
2016-08-12,15865.043570135049,14268.527881413167,17383.20983331611
2016-08-13,14667.444939252458,13129.729416791222,16189.911500975275
2016-08-14,14232.85004748834,12661.681307410376,15608.463990218695
2016-08-15,15843.186799378316,14269.304069206928,17401.591893583096
2016-08-16,16079.072251963837,14656.173026283393,17566.05613822101
2016-08-17,16015.322331193065,14494.405549702771,17526.488156364518
2016-08-18,16020.97076033212,14499.222054504926,17574.360959852835
2016-08-19,15750.66046379063,14246.570666938083,17234.66977226211
2016-08-20,14551.298401050808,13053.2819449488,16044.920048052589
2016-08-21,14109.347812922464,12626.573732447518,15572.822590787593
2016-08-22,15706.707112738903,14188.817802568576,17207.498191289764
2016-08-23,15924.150477496732,14412.298704616496,17430.386509247783
2016-08-24,15836.829401452014,14270.728970814394,17288.25555861081
2016-08-25,15814.278128726422,14338.259755997015,17271.092993418977
2016-08-26,15511.786726132885,13921.48516538809,17004.605402386762
2016-08-27,14277.033390252205,12792.269723482092,15810.523173446565
2016-08-28,13797.350730835467,12248.118033700093,15344.340054709279
2016-08-29,15355.576119063993,13749.829605338562,16906.797258816154
2016-08-30,15533.462080272046,14005.540310716886,16990.8132108035
2016-08-31,15407.146957963481,13979.889595315055,16988.056076119192
2016-09-01,15347.129739490085,13830.486487770604,16817.36638407129
2016-09-02,15009.613757764735,13501.499410328915,16589.66266250091
2016-09-03,13743.111766252821,12137.326893082356,15261.431699910461
2016-09-04,13235.687955100308,11755.380777944467,14697.024966030416
2016-09-05,14770.787720082917,13259.179999929178,16342.135856015775
2016-09-06,14930.63176321164,13416.111687127448,16438.679095934345
2016-09-07,14791.675209228717,13210.10200125034,16308.820306595191
2016-09-08,14724.57593090766,13244.536752801252,16180.427833831744
